,Title,Director,Release Date,Run Time,Genre,MPAA Rating,Description,IMDB Rating,Number of Votes,Metascore
28,Vikram Vedha,Gayatri,(2017),147 min,"
Action, Crime, Thriller            ",Not Rated,"
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",8.7,"18,201",N/A
29,Coriolanus,Tim Van Someren,(2014),192 min,"
Drama, History, War            ",N/A,"
    Caius Martius Coriolanus is a war hero, banished from his home, seeking to come back.",8.7,"1,337",N/A
30,Graves End,James Marlowe,(2005),90 min,"
Thriller, Mystery            ",N/A,"
    When society turns their back on reformed felons, the town of Graves End welcomes them but when the ex-cons disappear, FBI agent Paul Rickman comes looking for them and discovers more than he expected.",8.7,"6,442",N/A
31,Ramayana: The Legend of Prince Rama,Ram Mohan,(1992),170 min,"
Animation, Adventure, Drama            ",N/A,"
    An anime adaptation of the Hindu myth the Ramayana, where the avatar Sri Ram combats the wicked king Ravana.",8.7,"1,114",N/A
32,The Lord of the Rings: The Two Towers,Peter Jackson,(2002),179 min,"
Adventure, Drama, Fantasy            ",PG-13,"
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.7,"1,337,222",87        
33,The Matrix,Lana Wachowski,(1999),136 min,"
Action, Sci-Fi            ",R,"
    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",8.7,"1,492,212",73        
34,Lepa sela lepo gore,Srdjan Dragojevic,(1996),115 min,"
Comedy, Drama, History            ",N/A,"
    At the Belgrade army hospital, casualties of Bosnian civil war are treated. In the hospital they remember their youth and the war. Two young boys, Halil, a Muslim, and Milan, a Serb, have ...                See full summary »
",8.7,"13,175",N/A
35,Goodfellas,Martin Scorsese,(1990),146 min,"
Biography, Crime, Drama            ",R,"
    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",8.7,"897,013",89        
36,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,(1980),124 min,"
Action, Adventure, Fantasy            ",PG,"
    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.",8.7,"1,042,242",82        
37,One Flew Over the Cuckoo's Nest,Milos Forman,(1975),133 min,"
Drama            ",R,"
    A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.",8.7,"823,945",80        
38,Disney's Newsies the Broadway Musical,Jeff Calhoun,(2017),149 min,"
Musical            ",PG,"
    Filmed live on stage at the Pantages Theatre in Hollywood, CA, this is a not-to-be-missed high energy show starring Original Broadway cast members.",8.6,"1,441",N/A
39,Get Big,Dylan Anthony Moran,(2017),86 min,"
Comedy, Drama            ",N/A,"
    Inspired by somewhat true events, ""Get Big"" follows the misadventures of two friends as they reconnect to attend a high school classmate's wedding. Alec is the charming troublemaker, while ...                See full summary »
",8.6,"1,148",N/A
40,Diary of a Fatman,Steve Ravic,(2016),N/A,"
Comedy, Fantasy, Sci-Fi            ",N/A,"
    Meet Berd 'The Nerd' in a story of a man with no story to tell - until he falls asleep that is.",8.6,"1,193",N/A
41,Hamlet,Robin Lough,(2015),217 min,"
Drama            ",N/A,"
    Hamlet, Prince of Denmark, finds out that his Uncle Claudius killed his father to obtain the throne, and plans his revenge.",8.6,"1,561",N/A
42,Mystery: Born to Rock,Neil Johnson,(2014),85 min,"
Musical            ",N/A,"
    Mystery: Born to Rock is a story partly inspired by real life events. From the turbulent streets of the western suburbs of Melbourne, Australia, emerges a story of hope as four young boys ...                See full summary »
",8.6,"1,303",N/A
43,Metal Warrior,Steve Ravic,(2011),100 min,"
Musical            ",N/A,"
    An off-beat street drama, drawing us inside the various socio/sub-cultures that make up the periphery of urban Australia. The film centers on Blaze, an aspiring musician, who grows up in ...                See full summary »
",8.6,"1,254",N/A
44,Lad: A Yorkshire Story,Dan Hartley,(2013),96 min,"
Drama            ",N/A,"
    A teenage boy forms a friendship with a park ranger in the Yorkshire Dales after the death of his father.",8.6,"1,399",N/A
45,Interstellar,Christopher Nolan,(2014),169 min,"
Adventure, Drama, Sci-Fi            ",PG-13,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",8.6,"1,280,624",74        
46,Spirited Away,Hayao Miyazaki,(2001),125 min,"
Animation, Adventure, Family            ",PG,"
    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",8.6,"550,812",96        
47,Saving Private Ryan,Steven Spielberg,(1998),169 min,"
Drama, War            ",R,"
    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",8.6,"1,098,697",91        
48,The Green Mile,Frank Darabont,(1999),189 min,"
Crime, Drama, Fantasy            ",R,"
    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",8.6,"1,003,432",61        
49,Life Is Beautiful,Roberto Benigni,(1997),116 min,"
Comedy, Drama, Romance            ",PG-13,"
    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",8.6,"546,694",59        
